folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;s10b_13_15;s10b_13_16;s10b_13_17;upm;estrato;factor
666;8;1;0;0;0;0;0;0;50;0;15;0;0;0;30;0;0;0;0;200;0;0;100;0;0;0;350;50;0;0;0;0;300;300;0;0;0;0;0;0;0;0;0;0;0;0;650;0;0;0;0;0;0;0;0;0;0;0;814-00755463913-A;14;316
759;8;1;50;0;0;0;0;0;50;70;0;0;0;0;0;20;0;0;150;80;0;0;0;0;0;0;50;300;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;814-00756167925-A;14;316
881;5;1;0;0;0;0;0;100;20;0;10;0;0;0;0;0;250;0;0;50;10;0;30;600;0;0;300;50;0;0;0;0;0;70;0;0;0;0;0;150;0;0;0;0;100;600;0;0;0;0;0;0;0;0;0;0;0;0;512-00377418851-A;12;350
884;5;1;10;15;15;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512-00377418851-A;12;350
888;8;1;50;0;0;0;0;0;30;40;30;0;0;0;100;0;0;0;150;0;0;0;0;0;0;0;80;0;0;0;0;300;100;0;0;0;0;0;0;200;0;0;0;0;0;0;0;500;700;500;500;0;0;0;0;0;0;0;814-00755463913-A;14;316
893;8;1;50;0;0;50;0;0;100;25;0;0;0;0;50;0;0;0;0;0;20;0;0;0;0;0;50;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;500;0;0;0;0;0;200;0;0;814-00755463913-A;14;316
986;5;1;250;720;0;0;0;20;12;0;12;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;512-00377418851-A;12;350
993;5;1;15;120;0;0;0;30;38;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;40;0;0;0;300;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512-00377418851-A;12;350
1348;8;1;95;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;814-00756167925-A;14;316
1429;5;1;0;50;0;20;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;200;100;0;20;0;0;0;0;0;512-00377418851-A;12;350
1435;5;1;16;30;0;0;0;0;20;10;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;513-00378440236-A;13;402
1436;5;1;3;400;0;0;0;0;5;30;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;200;100;200;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;95;0;0;0;0;0;0;0;513-00378440236-A;13;402
1437;5;1;0;20;0;0;0;0;10;0;20;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;50;30;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;0;513-00378440236-A;13;402
1508;5;1;30;35;0;0;0;40;42;150;0;0;0;0;40;0;0;0;0;0;20;0;15;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0;260;0;0;0;0;180;263;50;0;0;0;0;0;0;512-00377418851-A;12;350
1515;5;1;15;15;0;0;0;0;10;60;0;0;0;0;80;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;512-00377418851-A;12;350
1527;5;1;0;500;600;0;0;20;27;0;10;0;0;0;60;0;0;0;0;0;0;300;0;0;0;0;0;60;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;200;200;95;60;0;0;0;0;0;512-00377418851-A;12;350
1557;5;1;50;30;0;0;0;0;30;18;15;0;0;0;150;0;0;0;0;30;30;0;0;0;0;0;0;120;0;180;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;50;0;0;176;0;0;514-00377379138-A;14;411
1558;5;1;100;20;0;0;40;45;100;0;20;0;0;0;0;0;0;0;0;15;0;0;20;0;0;0;0;10;0;209;0;0;500;400;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;514-00377379138-A;14;411
1560;5;1;40;200;0;30;0;20;30;20;0;0;0;0;200;0;0;0;0;70;20;0;0;0;0;0;0;50;0;0;0;400;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;200;400;0;0;0;100;0;0;514-00377379138-A;14;411
1794;8;1;60;0;0;0;0;0;50;20;30;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;30;0;180;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;814-00755463913-A;14;316
1802;8;1;50;200;0;60;0;0;150;70;10;0;0;0;0;600;0;0;0;0;25;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;500;500;0;0;0;0;0;814-00755463913-A;14;316
1811;8;1;40;120;0;0;0;10;50;30;20;0;0;0;100;40;80;0;100;0;20;0;30;0;0;0;0;50;0;0;0;200;150;0;0;0;0;0;0;0;0;0;30;0;200;0;0;0;0;0;40;0;0;0;0;0;0;0;813-00756381697-A;13;243
1851;5;1;34;15;0;0;0;30;45;46;0;0;0;0;20;0;0;0;0;180;0;0;0;0;0;0;0;0;0;166;0;1000;120;0;0;45;0;0;0;0;0;0;0;0;200;0;2600;0;0;255;500;10;0;11000;0;0;0;0;512-00377418851-A;12;350
1856;5;1;50;200;50;0;0;20;20;0;20;0;0;0;100;0;300;0;150;50;5;0;30;0;0;0;250;300;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;250;120;0;0;0;0;0;0;0;513-00378440236-A;13;402
3280;7;1;20;50;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05269040303-A;13;486
3281;7;1;40;350;0;0;0;20;30;40;0;0;0;0;10;0;0;0;0;120;0;0;44;0;0;0;0;40;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;20;50;80;10;0;0;0;0;0;0;713-05269040303-A;13;486
3305;7;1;30;400;0;0;0;0;100;40;0;0;0;0;100;400;104;0;0;180;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;850;0;0;0;50;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;713-05269040303-A;13;486
3358;7;1;150;120;0;0;0;0;50;240;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;300;250;170;0;0;480;300;180;0;0;0;0;0;0;110;0;0;0;400;0;0;0;0;250;1200;0;0;0;0;0;0;0;713-05269040303-A;13;486
3359;1;1;30;60;0;10;10;30;30;0;10;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;50;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112-04190828218-A;12;210
3360;1;1;42;60;0;0;0;0;30;14;0;0;0;60;80;0;0;0;0;15;15;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;400;30;0;0;0;0;0;0;112-04190828218-A;12;210
